sm_cat,일시,qty,일 미세먼지 농도(㎍/㎥)
공기청정기,2018-01-13,32,31.03846153846154
공기청정기,2018-01-17,568,37.2962962962963
공기청정기,2018-01-19,233,46.65384615384615
공기청정기,2018-01-29,245,33.7037037037037
공기청정기,2018-02-02,118,31.392857142857142
공기청정기,2018-02-06,100,22.678571428571427
공기청정기,2018-02-07,349,24.285714285714285
공기청정기,2018-02-22,146,36.392857142857146
공기청정기,2018-02-26,178,36.07142857142857
공기청정기,2018-02-27,160,50.629629629629626
공기청정기,2018-03-07,106,23.857142857142858
공기청정기,2018-03-08,161,21.904761904761905
공기청정기,2018-03-13,168,33.82142857142857
공기청정기,2018-03-14,134,22.76
공기청정기,2018-03-27,1157,56.22222222222222
공기청정기,2018-04-19,198,49.51724137931034
공기청정기,2018-05-19,226,14.952380952380953
공기청정기,2018-06-11,121,13.857142857142858
공기청정기,2018-06-18,91,28.03703703703704
공기청정기,2018-06-19,127,28.846153846153847
공기청정기,2018-07-16,69,26.115384615384617
공기청정기,2018-07-17,53,30.44
공기청정기,2018-07-19,55,31.166666666666668
공기청정기,2018-08-02,23,23.192307692307693
공기청정기,2018-08-09,32,19.0
공기청정기,2018-08-14,29,21.24
공기청정기,2018-08-17,34,14.19047619047619
공기청정기,2018-08-21,26,22.39130434782609
공기청정기,2018-09-10,70,15.090909090909092
공기청정기,2018-09-18,52,27.46153846153846
공기청정기,2018-09-19,38,28.76
공기청정기,2018-09-26,42,12.608695652173912
공기청정기,2018-09-28,31,14.944444444444445
공기청정기,2018-10-14,33,22.77777777777778
공기청정기,2018-10-24,99,35.107142857142854
공기청정기,2018-11-02,94,28.296296296296298
공기청정기,2018-11-04,71,28.93103448275862
공기청정기,2018-11-13,216,24.0
공기청정기,2018-11-20,156,39.172413793103445
공기청정기,2018-11-24,61,28.384615384615383
공기청정기,2018-12-02,534,47.37931034482759
공기청정기,2018-12-13,102,29.285714285714285
공기청정기,2018-12-17,164,49.13793103448276
공기청정기,2018-12-18,143,33.32142857142857
공기청정기,2018-12-19,211,53.75
공기청정기,2018-12-20,210,53.75862068965517
공기청정기,2018-12-21,188,55.46428571428572
공기청정기,2019-01-02,159,24.07407407407408
공기청정기,2019-01-07,165,38.48275862068966
공기청정기,2019-01-09,156,32.925925925925924
공기청정기,2019-01-10,198,32.03448275862069
공기청정기,2019-01-14,1006,99.13793103448276
공기청정기,2019-01-15,1220,87.75862068965517
공기청정기,2019-01-16,753,34.27586206896552
공기청정기,2019-01-29,252,56.172413793103445
공기청정기,2019-02-01,117,30.821428571428573
공기청정기,2019-02-06,220,69.27586206896552
공기청정기,2019-02-07,317,42.82142857142857
공기청정기,2019-02-13,236,43.689655172413794
공기청정기,2019-02-15,235,33.44827586206897
공기청정기,2019-03-02,713,77.62962962962963
공기청정기,2019-03-06,3456,94.33333333333331
공기청정기,2019-03-20,453,55.03846153846154
공기청정기,2019-04-03,250,28.517241379310345
공기청정기,2019-04-07,282,43.42307692307692
공기청정기,2019-04-08,516,34.0
공기청정기,2019-04-10,290,11.555555555555555
공기청정기,2019-04-15,334,46.32142857142857
공기청정기,2019-04-30,143,22.392857142857142
공기청정기,2019-05-03,231,44.82758620689656
공기청정기,2019-05-07,227,35.55555555555556
공기청정기,2019-05-08,524,37.60714285714285
공기청정기,2019-05-10,278,38.46428571428572
공기청정기,2019-05-15,326,41.18518518518518
공기청정기,2019-05-30,103,33.758620689655174
공기청정기,2019-06-14,68,25.346153846153847
공기청정기,2019-06-18,95,24.62962962962963
공기청정기,2019-07-05,83,29.59259259259259
공기청정기,2019-07-07,121,19.692307692307693
공기청정기,2019-07-25,53,19.73076923076923
공기청정기,2019-08-07,52,27.08
공기청정기,2019-08-20,43,28.357142857142858
공기청정기,2019-08-26,84,21.13793103448276
공기청정기,2019-09-03,70,16.32
공기청정기,2019-09-06,59,17.153846153846153
공기청정기,2019-09-08,26,23.45833333333333
공기청정기,2019-09-20,80,20.0
공기청정기,2019-09-24,79,20.40909090909091
공기청정기,2019-09-26,71,23.52173913043478
공기청정기,2019-09-30,98,36.888888888888886
공기청정기,2019-10-08,118,30.580422726015502
공기청정기,2019-10-13,42,20.541666666666668
공기청정기,2019-10-15,96,20.681818181818183
공기청정기,2019-10-16,71,23.08333333333333
공기청정기,2019-10-18,57,17.782608695652176
공기청정기,2019-10-19,33,20.09090909090909
공기청정기,2019-10-22,142,26.08695652173913
공기청정기,2019-10-25,64,21.615384615384617
공기청정기,2019-10-29,166,68.0
공기청정기,2019-10-30,120,26.51851851851852
공기청정기,2019-11-01,332,85.0
공기청정기,2019-11-02,148,57.10344827586207
공기청정기,2019-11-03,136,45.15384615384615
공기청정기,2019-11-06,185,33.93103448275862
공기청정기,2019-11-07,138,33.89655172413793
공기청정기,2019-11-08,116,32.57692307692308
공기청정기,2019-11-11,352,25.107142857142858
공기청정기,2019-11-13,98,27.285714285714285
공기청정기,2019-11-16,46,32.827586206896555
공기청정기,2019-11-19,85,25.785714285714285
공기청정기,2019-11-23,226,24.96551724137931
공기청정기,2019-11-25,135,20.041666666666668
공기청정기,2019-11-27,201,25.517241379310345
공기청정기,2019-11-28,75,28.0
공기청정기,2019-11-30,52,27.11111111111111
공기청정기,2019-12-03,194,19.55172413793104
공기청정기,2019-12-06,90,20.48148148148148
공기청정기,2019-12-07,41,29.620689655172413
공기청정기,2019-12-09,169,42.629629629629626
공기청정기,2019-12-13,121,22.464285714285715
공기청정기,2019-12-14,68,29.655172413793103
공기청정기,2019-12-27,95,22.655172413793103
공기청정기,2018-01-01,106,32.96296296296296
공기청정기,2018-01-02,147,40.03703703703704
공기청정기,2018-01-03,103,23.185185185185187
공기청정기,2018-01-04,77,26.423076923076923
공기청정기,2018-01-05,141,29.642857142857142
공기청정기,2018-01-06,74,28.25925925925926
공기청정기,2018-01-07,62,32.65384615384615
공기청정기,2018-01-08,166,28.25925925925926
공기청정기,2018-01-09,90,30.37037037037037
공기청정기,2018-01-10,96,21.88888888888889
공기청정기,2018-01-11,78,21.48148148148148
공기청정기,2018-01-12,72,18.444444444444443
공기청정기,2018-01-14,59,38.77777777777778
공기청정기,2018-01-15,298,42.22222222222222
공기청정기,2018-01-16,612,48.65384615384615
공기청정기,2018-01-18,511,68.85185185185185
공기청정기,2018-01-20,441,73.22222222222223
공기청정기,2018-01-21,492,58.74074074074074
공기청정기,2018-01-22,331,41.629629629629626
공기청정기,2018-01-23,421,20.615384615384617
공기청정기,2018-01-24,168,21.62962962962963
공기청정기,2018-01-25,132,18.15384615384616
공기청정기,2018-01-26,134,21.11111111111111
공기청정기,2018-01-27,143,27.11111111111111
공기청정기,2018-01-28,135,24.115384615384617
공기청정기,2018-01-30,206,32.57142857142857
공기청정기,2018-01-31,219,31.535714285714285
공기청정기,2018-02-01,221,29.5
공기청정기,2018-02-03,158,28.392857142857142
공기청정기,2018-02-04,108,22.142857142857142
공기청정기,2018-02-05,131,20.615384615384617
공기청정기,2018-02-08,159,36.67857142857143
공기청정기,2018-02-09,181,42.25
공기청정기,2018-02-10,67,54.0
공기청정기,2018-02-11,130,40.172413793103445
공기청정기,2018-02-12,111,36.10344827586207
공기청정기,2018-02-13,60,38.07142857142857
공기청정기,2018-02-14,122,52.42857142857143
공기청정기,2018-02-15,30,36.241379310344826
공기청정기,2018-02-16,141,30.517241379310345
공기청정기,2018-02-17,53,32.0
공기청정기,2018-02-18,119,28.379310344827587
공기청정기,2018-02-19,184,44.82758620689656
공기청정기,2018-02-20,124,47.82758620689656
공기청정기,2018-02-21,238,27.703703703703702
공기청정기,2018-02-23,133,59.0
공기청정기,2018-02-24,89,53.13793103448276
공기청정기,2018-02-25,106,34.06896551724138
공기청정기,2018-02-28,224,39.1764705882353
공기청정기,2018-03-01,216,33.592592592592595
공기청정기,2018-03-02,144,41.86206896551724
공기청정기,2018-03-03,53,35.62068965517241
공기청정기,2018-03-04,69,22.22222222222222
공기청정기,2018-03-05,232,16.75
공기청정기,2018-03-06,123,22.923076923076923
공기청정기,2018-03-09,107,33.714285714285715
공기청정기,2018-03-11,63,44.785714285714285
공기청정기,2018-03-12,226,61.241379310344826
공기청정기,2018-03-15,93,18.884615384615383
공기청정기,2018-03-16,65,19.45
공기청정기,2018-03-19,158,20.166666666666668
공기청정기,2018-03-20,111,16.22222222222222
공기청정기,2018-03-21,113,12.63157894736842
공기청정기,2018-03-22,82,23.807692307692307
공기청정기,2018-03-23,107,39.62068965517241
공기청정기,2018-03-25,437,53.5
공기청정기,2018-03-26,1162,46.14814814814815
공기청정기,2018-03-31,475,45.03448275862069
공기청정기,2018-04-01,366,57.25
공기청정기,2018-04-02,532,54.32142857142857
공기청정기,2018-04-06,401,85.73076923076923
공기청정기,2018-04-07,415,43.93103448275862
공기청정기,2018-04-09,388,41.96428571428572
