"","sns2018_2.date","sns2018_2.big_cat","sns2018_2.sm_cat","sns2018_2.cnt"
"1","20180701","뷰티","기능성 링클케어 화장품",12.517029
"2","20180701","뷰티","기능성 모공관리 화장품",180.965546
"3","20180701","뷰티","기능성 아이케어 화장품",3.456438
"4","20180701","뷰티","기능성 영양보습 화장품",2.823056
"5","20180701","뷰티","기능성 트러블케어 화장품",170.621002
"6","20180701","뷰티","기능성 화이트닝 화장품",150.644996
"7","20180701","뷰티","기능성 화장품 세트",97.155085
"8","20180701","뷰티","기초 화장용 로션",107.615229
"9","20180701","뷰티","기초 화장용 미스트",39.103546
"10","20180701","뷰티","기초 화장용 스킨",18.852374
"11","20180701","뷰티","기초 화장용 에센스",47.992914
"12","20180701","뷰티","기초 화장용 오일/앰플",64.99861
"13","20180701","뷰티","기초 화장용 크림",49.150903
"14","20180701","뷰티","남성 로션",24.782286
"15","20180701","뷰티","남성 메이크업",73.357644
"16","20180701","뷰티","남성 선케어",9.338249
"17","20180701","뷰티","남성 세트",88.672558
"18","20180701","뷰티","남성 쉐이빙",0.493642
"19","20180701","뷰티","남성 스킨",171.305004
"20","20180701","뷰티","남성 에센스",6.48937
"21","20180701","뷰티","남성 크림",104.671844
"22","20180701","뷰티","남성 클렌징",132.481332
"23","20180701","뷰티","남성향수",14.195424
"24","20180701","뷰티","네일 메이크업 용품",63.049669
"25","20180701","뷰티","네일관리 소품",2.141025
"26","20180701","뷰티","네일리무버",2.158186
"27","20180701","뷰티","네일세트",55.831705
"28","20180701","뷰티","네일아트",25.76134
"29","20180701","뷰티","네일컬러",43.472314
"30","20180701","뷰티","네일케어",93.504305
"31","20180701","뷰티","데오드란트",1.481401
"32","20180701","뷰티","린스",16.892575
"33","20180701","뷰티","립앤아이 리무버",2.426654
"34","20180701","뷰티","메이크업 박스",5.110498
"35","20180701","뷰티","메이크업 브러쉬",7.81574
"36","20180701","뷰티","미용가위",1.239111
"37","20180701","뷰티","바디 보습제",3.915756
"38","20180701","뷰티","바디 세트",89.226289
"39","20180701","뷰티","바디 스크럽",4.461374
"40","20180701","뷰티","바디 클렌져",39.776334
"41","20180701","뷰티","바디케어용 땀패드",8.879569
"42","20180701","뷰티","바디케어용 때비누",0.06868
"43","20180701","뷰티","바디케어용 볼륨업크림",2.020775
"44","20180701","뷰티","바디케어용 슬리밍",2.033705
"45","20180701","뷰티","바디케어용 제모제",0.873768
"46","20180701","뷰티","바디케어용 청 결제",3.23132
