"","sns2018_1.date","sns2018_1.big_cat","sns2018_1.sm_cat","sns2018_1.cnt"
"1","20180101","뷰티","기능성 링클케어 화장품",12.154295
"2","20180101","뷰티","기능성 모공관리 화장품",36.000828
"3","20180101","뷰티","기능성 아이케어 화장품",0.895782
"4","20180101","뷰티","기능성 영양보습 화장품",14.868175
"5","20180101","뷰티","기능성 트러블케어 화장품",48.819391
"6","20180101","뷰티","기능성 화이트닝 화장품",23.016522
"7","20180101","뷰티","기능성 화장품 세트",9.951938
"8","20180101","뷰티","기초 화장용 로션",88.715916
"9","20180101","뷰티","기초 화장용 미스트",18.342442
"10","20180101","뷰티","기초 화장용 스킨",1.812271
"11","20180101","뷰티","기초 화장용 에센스",51.528409
"12","20180101","뷰티","기초 화장용 오일/앰플",16.406682
"13","20180101","뷰티","기초 화장용 크림",62.292207
"14","20180101","뷰티","남성 로션",4.036802
"15","20180101","뷰티","남성 메이크업",11.426357
"16","20180101","뷰티","남성 선케어",0
"17","20180101","뷰티","남성 세트",0.722787
"18","20180101","뷰티","남성 쉐이빙",0.535583
"19","20180101","뷰티","남성 스킨",6.027183
"20","20180101","뷰티","남성 에센스",2.518752
"21","20180101","뷰티","남성 크림",2.062981
"22","20180101","뷰티","남성 클렌징",1.997002
"23","20180101","뷰티","남성향수",7.511908
"24","20180101","뷰티","네일 메이크업 용품",6.131421
"25","20180101","뷰티","네일관리 소품",0
"26","20180101","뷰티","네일리무버",1.235735
"27","20180101","뷰티","네일세트",2.89727
"28","20180101","뷰티","네일아트",14.102179
"29","20180101","뷰티","네일컬러",14.228854
"30","20180101","뷰티","네일케어",14.654445
"31","20180101","뷰티","데오드란트",0.294137
"32","20180101","뷰티","린스",8.855956
"33","20180101","뷰티","립앤아이 리무버",2.072329
"34","20180101","뷰티","메이크업 박스",2.557694
"35","20180101","뷰티","메이크업 브러쉬",7.040919
"36","20180101","뷰티","미용가위",0.897794
"37","20180101","뷰티","바디 보습제",0.312371
"38","20180101","뷰티","바디 세트",4.360994
"39","20180101","뷰티","바디 스크럽",1.755557
"40","20180101","뷰티","바디 클렌져",1.379132
"41","20180101","뷰티","바디케어용 땀패드",1.249022
"42","20180101","뷰티","바디케어용 때비누",0.11628
"43","20180101","뷰티","바디케어용 볼륨업크림",2.222603
"44","20180101","뷰티","바디케어용 슬리밍",0.797736
"45","20180101","뷰티","바디케어용 제모제",0.098046
"46","20180101","뷰티","바디케어용 청 결제",1.315546
"47","20180101","뷰티","베이스 메이크업 세트",3.42472
"48","20180101","뷰티","베이스 메이크업용 BB크림",5.617603
"49","20180101","뷰티","베이스 메이크업용 CC크림",2.627696
"50","20180101","뷰티","베이스 메이크업용 가루파우더",0
"51","20180101","뷰티","베이스 메이크업용 메이크업베이스",12.544631
"52","20180101","뷰티","베이스 메이크업용 컨실러",10.477165
"53","20180101","뷰티","베이스 메이크업용 쿠션팩트",6.021111
"54","20180101","뷰티","베이스 메이크업용 트윈케이크",0
"55","20180101","뷰티","베이스 메이크업용 파우더팩트",4.309745
"56","20180101","뷰티","베이스 메이크업용 파운데이션",16.682498
"57","20180101","뷰티","베이스 메이크업용 프라이머",5.937771
"58","20180101","뷰티","뷰티 눈썹정리도구",0.196091
"59","20180101","뷰티","뷰티 속눈썹/쌍꺼풀",0.679444
"60","20180101","뷰티","뷰티 손거울",2.915504
"61","20180101","뷰티","뷰티 타투",5.13547
"62","20180101","뷰티","뷰티 헤어캡",0.88241
"63","20180101","뷰티","뷰티 화장솜",9.880844
"64","20180101","뷰티","뷰티 화장품 공병/케이스",6.305222
"65","20180101","뷰티","뷰티용 기름종이",1.980696
"66","20180101","뷰티","뷰티용 면봉/귀이개",14.890389
"67","20180101","뷰티","뷰티용 뷰러",5.167785
"68","20180101","뷰티","뷰티용 샤프너",1.321498
"69","20180101","뷰티","뷰티용 여드름압출기",0.419303
"70","20180101","뷰티","색조 메이크업 립글로스",3.817683
"71","20180101","뷰티","색조 메이크업 립라이너",1.413592
"72","20180101","뷰티","색조 메이크업 립밤",18.094207
"73","20180101","뷰티","색조 메이크업 립스틱",49.562768
"74","20180101","뷰티","색조 메이크업 립틴트",25.08766
"75","20180101","뷰티","색조 메이크업 마스카라",14.654981
"76","20180101","뷰티","색조 메이크업 볼터치",4.910202
"77","20180101","뷰티","색조 메이크업 세트",3.376053
"78","20180101","뷰티","색조 메이크업 속눈썹영양제",2.272612
"79","20180101","뷰티","색조 메이크업 쉐딩/하이라이터",8.058283
"80","20180101","뷰티","색조 메이크업 아이라이너",13.932191
"81","20180101","뷰티","색조 메이크업 아이브로우",5.701272
"82","20180101","뷰티","색조 메이크업 아이섀도우",5.92503
"83","20180101","뷰티","샤워코롱",0.37596
"84","20180101","뷰티","샴푸",72.774694
"85","20180101","뷰티","선로션",0.098046
"86","20180101","뷰티","선스프레이",0.072937
"87","20180101","뷰티","선케어용 선밤",0
"88","20180101","뷰티","선크림",20.542904
"89","20180101","뷰티","선파우더",0
"90","20180101","뷰티","세안도구",0.11628
"91","20180101","뷰티","손톱정리도구",0
"92","20180101","뷰티","스크럽/필링크림",5.060392
"93","20180101","뷰티","스킨케어 곡물팩",0.339491
"94","20180101","뷰티","스킨케어 마스크팩",38.510614
"95","20180101","뷰티","스킨케어 수면팩",1.265329
"96","20180101","뷰티","스킨케어 시트마스크팩",0.629227
"97","20180101","뷰티","스킨케어 워시오프팩",0.428651
"98","20180101","뷰티","스킨케어 코팩",0.832193
"99","20180101","뷰티","스킨케어 필오프팩",1.556992
"100","20180101","뷰티","애프터선",0.196091
"101","20180101","뷰티","여성향수",8.546228
"102","20180101","뷰티","입욕제",10.938766
"103","20180101","뷰티","클렌징 로션",4.990137
"104","20180101","뷰티","클렌징 오일",8.497854
"105","20180101","뷰티","클렌징 워터/젤",6.252615
"106","20180101","뷰티","클렌징 크림",9.603937
"107","20180101","뷰티","클렌징 티슈",2.062981
"108","20180101","뷰티","클렌징 폼",12.728358
"109","20180101","뷰티","태닝용 선크림",0.225685
"110","20180101","뷰티","트리트먼트",25.985846
"111","20180101","뷰티","팩도구",1.096735
"112","20180101","뷰티","풋스프레이",1.105622
"113","20180101","뷰티","풋워시/스크럽",0.207451
"114","20180101","뷰티","풋크림",0.474006
"115","20180101","뷰티","풋패치",1.668325
"116","20180101","뷰티","핸드워시/스크럽",0.781975
"117","20180101","뷰티","핸드크림",20.882994
"118","20180101","뷰티","향수세트",1.206141
"119","20180101","뷰티","헤어 브러쉬",2.902042
"120","20180101","뷰티","헤어매니큐어",0.330605
"121","20180101","뷰티","헤어무스",17.269099
"122","20180101","뷰티","헤어스타일링용 염색약",7.91352
"123","20180101","뷰티","헤어스타일링용 펌제",28.308767
"124","20180101","뷰티","헤어스타일링용 흑채",0.849965
"125","20180101","뷰티","헤어스프레이",21.331759
"126","20180101","뷰티","헤어에센스",23.162645
"127","20180101","뷰티","헤어왁스",21.165723
"128","20180101","뷰티","헤어젤",3.262416
"129","20180101","뷰티","헤어케어세트",0.66121
"130","20180101","뷰티","화장 비누",1.472695
"131","20180101","뷰티","화장 퍼프",13.552291
"132","20180101","식품","홍삼 분말/환",0.419303
"133","20180101","식품","탄산음료",12.877921
"134","20180101","식품","헛개/가시오가피",1.689494
"135","20180101","식품","한방 분말/환제품",2.176787
"136","20180101","식품","이온음료",1.643678
"137","20180101","식품","다이어트보조식",3.610163
"138","20180101","식품","스피루리나 영양제",0.60852
"139","20180101","식품","홍차",24.731924
"140","20180101","식품","배추김치",11.49208
"141","20180101","식품","프로바이오틱스",2.311385
"142","20180101","식품","커피음료",0.697679
"143","20180101","식품","과실차",0
"144","20180101","식품","원두커피",5.530289
"145","20180101","식품","쌀",110.593203
"146","20180101","식품","견과류 땅콩",42.828811
"147","20180101","식품","환자식",0.11628
"148","20180101","식품","과일세트",7.270378
"149","20180101","식품","견과류 캐슈넛",1.431826
"150","20180101","식품","기타 한방/환제품",138.122254
"151","20180101","식품","코코아/핫초코",44.102819
"152","20180101","식품","아이스티",7.744344
"153","20180101","식품","캡슐/POD커피",32.767249
"154","20180101","식품","건대추",0.098046
"155","20180101","식품","닭가슴살",38.539369
"156","20180101","식품","건강즙/녹용",2.340895
"157","20180101","식품","전복 생물",78.55316
"158","20180101","식품","옻/칡/쑥즙",0
"159","20180101","식품","잡곡",3.500758
"160","20180101","식품","식혜/수정과",18.813767
"161","20180101","식품","콜라겐/코큐텐 영양제",0.501588
"162","20180101","식품","요거트/발효유",54.889469
"163","20180101","식품","양파/마늘즙",3.437153
"164","20180101","식품","백김치",10.728423
"165","20180101","식품","한방재료",0.196091
"166","20180101","식품","밀크티/티라떼",51.266983
"167","20180101","식품","기타 농산물",12.067441
"168","20180101","식품","김치류",331.11637
"169","20180101","식품","갓김치",7.563006
"170","20180101","식품","허브차",2.063065
"171","20180101","식품","젓갈류",15.048548
"172","20180101","식품","카페용 초콜릿시럽",10.562846
"173","20180101","식품","도라지/더덕",9.348157
"174","20180101","식품","무김치",3.672663
"175","20180101","식품","홍삼절편/홍삼정과",0.170982
"176","20180101","식품","물김치",6.029781
"177","20180101","식품","건어물 쥐포",0.018234
"178","20180101","식품","반찬류",217.217877
"179","20180101","식품","연어/훈제연어",112.780005
"180","20180101","식품","포도/거봉/체리",75.815972
"181","20180101","식품","미숫가루/곡물가루",5.917316
"182","20180101","식품","곶감/반건시",8.73599
"183","20180101","식품","프라페/버블티 파우더",5.929306
"184","20180101","식품","혼합곡",0.098046
"185","20180101","식품","탄산수",10.9321
"186","20180101","식품","칼슘/철분 영양제",2.203908
"187","20180101","식품","복분자/석류/과실즙",17.742059
"188","20180101","식품","차 선물세트",59.589144
"189","20180101","식품","해조류 다시마",21.837204
"190","20180101","식품","비타민",106.856201
"191","20180101","식품","흰우유",3.133769
"192","20180101","식품","건바나나",0
"193","20180101","식품","유자차",14.830116
"194","20180101","식품","기타 주스류",63.841585
